Method,Essay A ID,Essay B ID,Time Taken,Similarity Score
Method1,000d118,000fe60,1.2179127000272274,0.0
Method1,000d118,001ab80,0.060155900195240974,0.15384615384615385
Method1,000d118,001bdc0,0.04679050017148256,0.0
Method1,000d118,002ba53,0.017259899992495775,0.0
Method1,000d118,002ba52,0.005930499639362097,0.0
Method1,000fe60,001ab80,0.005674399901181459,0.0
Method1,000fe60,001bdc0,0.004699900280684233,0.0
Method1,000fe60,002ba53,0.0035715000703930855,0.0
Method1,000fe60,002ba52,0.006079900078475475,0.0
Method1,001ab80,001bdc0,0.006445799954235554,0.0
Method1,001ab80,002ba53,0.006293599959462881,0.0
Method1,001ab80,002ba52,0.008729799650609493,0.0
Method1,001bdc0,002ba53,0.007676899898797274,0.0
Method1,001bdc0,002ba52,0.006688199937343597,0.3076923076923077
Method1,002ba53,002ba52,0.005825300235301256,1.0
Method2,000d118,000fe60,0.006313499994575977,0.6589538065270341
Method2,000d118,001ab80,0.008340900298207998,0.7292859152446163
Method2,000d118,001bdc0,0.005569899920374155,0.6332076410600216
Method2,000d118,002ba53,0.003987400326877832,0.5855581662939096
Method2,000d118,002ba52,0.005464700050652027,0.6135728146497588
Method2,000fe60,001ab80,0.004725799895823002,0.6092505019420668
Method2,000fe60,001bdc0,0.004110199864953756,0.5977428783235551
Method2,000fe60,002ba53,0.002334299962967634,0.5108738012158343
Method2,000fe60,002ba52,0.006401499733328819,0.5666437000255373
Method2,001ab80,001bdc0,0.006757800001651049,0.632137532990348
Method2,001ab80,002ba53,0.004379000049084425,0.6260024885648884
Method2,001ab80,002ba52,0.0057206000201404095,0.6673468197146131
Method2,001bdc0,002ba53,0.0034468001686036587,0.66223516278122
Method2,001bdc0,002ba52,0.003974100109189749,0.8590747559232205
Method2,002ba53,002ba52,0.0026871999725699425,0.8781083913154017
Method3,000d118,000fe60,0.009101499803364277,0.1360381861575179
Method3,000d118,001ab80,0.009840299841016531,0.16998191681735986
Method3,000d118,001bdc0,0.006765400059521198,0.13095238095238096
Method3,000d118,002ba53,0.0058766999281942844,0.12631578947368421
Method3,000d118,002ba52,0.007910000160336494,0.12291666666666666
Method3,000fe60,001ab80,0.006285400129854679,0.168141592920354
Method3,000fe60,001bdc0,0.0050422996282577515,0.13895781637717122
Method3,000fe60,002ba53,0.004426999948918819,0.12863705972434916
Method3,000fe60,002ba52,0.006997100077569485,0.14775725593667546
Method3,001ab80,001bdc0,0.011295299977064133,0.14711359404096835
Method3,001ab80,002ba53,0.007080200128257275,0.16069489685124863
Method3,001ab80,002ba52,0.013390200212597847,0.17348927875243664
Method3,001bdc0,002ba53,0.005550200119614601,0.11907654921020656
Method3,001bdc0,002ba52,0.007148699834942818,0.4956896551724138
Method3,002ba53,002ba52,0.006349500268697739,0.6477419354838709
